,DATETIMEDATA,PM25,TEMP,WS,RH,WD,RAIN
460,2024-01-20 04:00:00,26.9,0,0,0,0,0
461,2024-01-20 05:00:00,29.1,0,0,0,0,0
462,2024-01-20 06:00:00,28.0,0,0,0,0,0
463,2024-01-20 07:00:00,31.5,0,0,0,0,0
464,2024-01-20 08:00:00,34.4,0,0,0,0,0
465,2024-01-20 09:00:00,22.9,0,0,0,0,0
466,2024-01-20 10:00:00,21.7,0,0,0,0,0
467,2024-01-20 11:00:00,17.1,0,0,0,0,0
468,2024-01-20 12:00:00,16.3,0,0,0,0,0
469,2024-01-20 13:00:00,13.6,0,0,0,0,0
470,2024-01-20 14:00:00,15.7,0,0,0,0,0
471,2024-01-20 15:00:00,22.4,0,0,0,0,0
472,2024-01-20 16:00:00,20.0,0,0,0,0,0
473,2024-01-20 17:00:00,22.7,0,0,0,0,0
474,2024-01-20 18:00:00,25.4,0,0,0,0,0
475,2024-01-20 19:00:00,23.8,0,0,0,0,0
476,2024-01-20 20:00:00,28.3,0,0,0,0,0
